Company Name,Ticker,Country,Industry,Year,Revenue,Revenue Unit,Net Income,Total Assets,Operating Cash Flow
3M Company,MMM,United States,Conglomerates,2024,24575000000.0,USD,4173000000.0,39868000000.0,1819000000.0
3M Company,MMM,United States,Conglomerates,2023,24610000000.0,USD,-6995000000.0,50580000000.0,6680000000.0
3M Company,MMM,United States,Conglomerates,2022,34229000000.0,USD,5777000000.0,46455000000.0,5591000000.0
APA Corporation,APA,United States,Oil & Gas E&P,2024,9737000000.0,USD,804000000.0,19390000000.0,3620000000.0
APA Corporation,APA,United States,Oil & Gas E&P,2023,8279000000.0,USD,2855000000.0,15244000000.0,3129000000.0
APA Corporation,APA,United States,Oil & Gas E&P,2022,11075000000.0,USD,3604000000.0,13147000000.0,4943000000.0
"Advanced Micro Devices, Inc.",AMD,United States,Semiconductors,2024,25785000000.0,USD,1641000000.0,69226000000.0,3041000000.0
"Advanced Micro Devices, Inc.",AMD,United States,Semiconductors,2023,22680000000.0,USD,854000000.0,67885000000.0,1667000000.0
"Advanced Micro Devices, Inc.",AMD,United States,Semiconductors,2022,23601000000.0,USD,1320000000.0,67580000000.0,3565000000.0
"Agilent Technologies, Inc.",A,United States,Diagnostics & Research,2024,6510000000.0,USD,1289000000.0,11846000000.0,1751000000.0
"Agilent Technologies, Inc.",A,United States,Diagnostics & Research,2023,6833000000.0,USD,1240000000.0,10763000000.0,1772000000.0
"Agilent Technologies, Inc.",A,United States,Diagnostics & Research,2022,6848000000.0,USD,1254000000.0,10532000000.0,1312000000.0
"Air Products and Chemicals, Inc.",APD,United States,Specialty Chemicals,2025,12037300000.0,USD,-394500000.0,41059500000.0,3256800000.0
"Air Products and Chemicals, Inc.",APD,United States,Specialty Chemicals,2024,12100600000.0,USD,3828200000.0,39574600000.0,3646700000.0
"Air Products and Chemicals, Inc.",APD,United States,Specialty Chemicals,2023,12600000000.0,USD,2300200000.0,32002500000.0,3206300000.0
"Airbnb, Inc.",ABNB,United States,Travel Services,2024,11102000000.0,USD,2648000000.0,20959000000.0,4518000000.0
"Airbnb, Inc.",ABNB,United States,Travel Services,2023,9917000000.0,USD,4792000000.0,20645000000.0,3884000000.0
"Airbnb, Inc.",ABNB,United States,Travel Services,2022,8399000000.0,USD,1893000000.0,16038000000.0,3430000000.0
Alphabet Inc.,GOOGL,United States,Internet Content & Information,2024,350018000000.0,USD,100118000000.0,450256000000.0,125299000000.0
Alphabet Inc.,GOOGL,United States,Internet Content & Information,2023,307394000000.0,USD,73795000000.0,402392000000.0,101746000000.0
Alphabet Inc.,GOOGL,United States,Internet Content & Information,2022,282836000000.0,USD,59972000000.0,365264000000.0,91495000000.0
"Altria Group, Inc.",MO,United States,Tobacco,2024,20444000000.0,USD,11264000000.0,35177000000.0,8753000000.0
"Altria Group, Inc.",MO,United States,Tobacco,2023,20502000000.0,USD,8130000000.0,38570000000.0,9287000000.0
"Altria Group, Inc.",MO,United States,Tobacco,2022,20688000000.0,USD,5764000000.0,36954000000.0,8256000000.0
"American Electric Power Company, Inc.",AEP,United States,Utilities - Regulated Electric,2024,19721300000.0,USD,2967100000.0,103078000000.0,6804300000.0
"American Electric Power Company, Inc.",AEP,United States,Utilities - Regulated Electric,2023,18982300000.0,USD,2208100000.0,96684000000.0,5012200000.0
"American Electric Power Company, Inc.",AEP,United States,Utilities - Regulated Electric,2022,19639500000.0,USD,2307200000.0,93403300000.0,5288000000.0
American Express Company,AXP,United States,Credit Services,2024,65949000000.0,USD,10129000000.0,271461000000.0,14050000000.0
American Express Company,AXP,United States,Credit Services,2023,60515000000.0,USD,8374000000.0,261108000000.0,18559000000.0
American Express Company,AXP,United States,Credit Services,2022,52862000000.0,USD,7514000000.0,228354000000.0,21079000000.0
"American International Group, Inc.",AIG,United States,Insurance - Diversified,2024,27270000000.0,USD,-1404000000.0,161322000000.0,3273000000.0
"American International Group, Inc.",AIG,United States,Insurance - Diversified,2023,27959000000.0,USD,3643000000.0,539306000000.0,6243000000.0
"American International Group, Inc.",AIG,United States,Insurance - Diversified,2022,29975000000.0,USD,10227000000.0,522228000000.0,4134000000.0
American Tower Corporation,AMT,United States,REIT - Specialty,2024,10127200000.0,USD,2255000000.0,61077400000.0,5290500000.0
American Tower Corporation,AMT,United States,REIT - Specialty,2023,10012200000.0,USD,1483300000.0,66027600000.0,4722400000.0
American Tower Corporation,AMT,United States,REIT - Specialty,2022,9645400000.0,USD,1765800000.0,67194500000.0,3696200000.0
Amgen Inc.,AMGN,United States,Drug Manufacturers - General,2024,33424000000.0,USD,4090000000.0,91839000000.0,11490000000.0
Amgen Inc.,AMGN,United States,Drug Manufacturers - General,2023,28190000000.0,USD,6717000000.0,97154000000.0,8471000000.0
Amgen Inc.,AMGN,United States,Drug Manufacturers - General,2022,26323000000.0,USD,6552000000.0,65121000000.0,9721000000.0
Amphenol Corporation,APH,United States,Electronic Components,2024,15222700000.0,USD,2424000000.0,21440200000.0,2814700000.0
Amphenol Corporation,APH,United States,Electronic Components,2023,12554700000.0,USD,1928000000.0,16526400000.0,2528700000.0
Amphenol Corporation,APH,United States,Electronic Components,2022,12623000000.0,USD,1902300000.0,15326200000.0,2174600000.0
"Analog Devices, Inc.",ADI,United States,Semiconductors,2025,11019707000.0,USD,2267342000.0,47992712000.0,4812202000.0
"Analog Devices, Inc.",ADI,United States,Semiconductors,2024,9427157000.0,USD,1635273000.0,48228277000.0,3852529000.0
"Analog Devices, Inc.",ADI,United States,Semiconductors,2023,12305539000.0,USD,3314579000.0,48794478000.0,4817634000.0
Anheuser-Busch InBev SA/NV,BUD,Belgium,Beverages - Brewers,2024,59768000000.0,USD,5855000000.0,206637000000.0,15055000000.0
Anheuser-Busch InBev SA/NV,BUD,Belgium,Beverages - Brewers,2023,59380000000.0,USD,5341000000.0,219340000000.0,13265000000.0
Anheuser-Busch InBev SA/NV,BUD,Belgium,Beverages - Brewers,2022,57786000000.0,USD,5969000000.0,212943000000.0,13298000000.0
Aon plc,AON,Ireland,Insurance Brokers,2024,15698000000.0,USD,2654000000.0,48965000000.0,3035000000.0
Aon plc,AON,Ireland,Insurance Brokers,2023,13376000000.0,USD,2564000000.0,33959000000.0,3435000000.0
Aon plc,AON,Ireland,Insurance Brokers,2022,12479000000.0,USD,2589000000.0,32704000000.0,3219000000.0
Apple Inc.,AAPL,United States,Consumer Electronics,2025,416161000000.0,USD,112010000000.0,359241000000.0,111482000000.0
Apple Inc.,AAPL,United States,Consumer Electronics,2024,391035000000.0,USD,93736000000.0,364980000000.0,118254000000.0
Apple Inc.,AAPL,United States,Consumer Electronics,2023,383285000000.0,USD,96995000000.0,352583000000.0,110543000000.0
Arch Capital Group Ltd.,ACGL,Bermuda,Insurance - Diversified,2024,16930000000.0,USD,4312000000.0,70906000000.0,6673000000.0
Arch Capital Group Ltd.,ACGL,Bermuda,Insurance - Diversified,2023,13297000000.0,USD,4443000000.0,58906000000.0,5749000000.0
Arch Capital Group Ltd.,ACGL,Bermuda,Insurance - Diversified,2022,9613000000.0,USD,1476000000.0,47990000000.0,3816000000.0
Archer-Daniels-Midland Company,ADM,United States,Farm Products,2024,85530000000.0,USD,1800000000.0,53271000000.0,2790000000.0
Archer-Daniels-Midland Company,ADM,United States,Farm Products,2023,93935000000.0,USD,3483000000.0,54631000000.0,4460000000.0
Archer-Daniels-Midland Company,ADM,United States,Farm Products,2022,101556000000.0,USD,4340000000.0,59774000000.0,3478000000.0
Arthur J. Gallagher & Co.,AJG,United States,Insurance Brokers,2024,11554900000.0,USD,1462700000.0,64255200000.0,2582900000.0
Arthur J. Gallagher & Co.,AJG,United States,Insurance Brokers,2023,10071900000.0,USD,969500000.0,51615800000.0,2031700000.0
Arthur J. Gallagher & Co.,AJG,United States,Insurance Brokers,2022,8550600000.0,USD,1114200000.0,38358400000.0,1390000000.0
AstraZeneca PLC,AZN,United Kingdom,Drug Manufacturers - General,2024,54073000000.0,USD,7035000000.0,104035000000.0,11861000000.0
AstraZeneca PLC,AZN,United Kingdom,Drug Manufacturers - General,2023,45811000000.0,USD,5955000000.0,101119000000.0,10345000000.0
AstraZeneca PLC,AZN,United Kingdom,Drug Manufacturers - General,2022,44351000000.0,USD,3288000000.0,96483000000.0,9808000000.0
"AvalonBay Communities, Inc.",AVB,United States,REIT - Residential,2024,2913757000.0,USD,1081994000.0,21000737000.0,1607878000.0
"AvalonBay Communities, Inc.",AVB,United States,REIT - Residential,2023,2767909000.0,USD,928825000.0,20678214000.0,1560029000.0
"AvalonBay Communities, Inc.",AVB,United States,REIT - Residential,2022,2593446000.0,USD,1136775000.0,20457764000.0,1421932000.0
BHP Group Limited,BHP,Australia,Other Industrial Metals & Mining,2025,51262000000.0,USD,9019000000.0,108790000000.0,18692000000.0
BHP Group Limited,BHP,Australia,Other Industrial Metals & Mining,2024,55658000000.0,USD,7897000000.0,102362000000.0,20665000000.0
BHP Group Limited,BHP,Australia,Other Industrial Metals & Mining,2023,53817000000.0,USD,12921000000.0,101296000000.0,18701000000.0
BP p.l.c.,BP,United Kingdom,Oil & Gas Integrated,2024,189185000000.0,USD,381000000.0,282228000000.0,27297000000.0
BP p.l.c.,BP,United Kingdom,Oil & Gas Integrated,2023,210130000000.0,USD,15239000000.0,280294000000.0,32039000000.0
BP p.l.c.,BP,United Kingdom,Oil & Gas Integrated,2022,241392000000.0,USD,-2487000000.0,288120000000.0,40932000000.0
Baker Hughes Company,BKR,United States,Oil & Gas Equipment & Services,2024,27829000000.0,USD,2979000000.0,38363000000.0,3332000000.0
Baker Hughes Company,BKR,United States,Oil & Gas Equipment & Services,2023,25506000000.0,USD,1943000000.0,36945000000.0,3062000000.0
Baker Hughes Company,BKR,United States,Oil & Gas Equipment & Services,2022,21156000000.0,USD,-601000000.0,34181000000.0,1888000000.0
Bank of America Corporation,BAC,United States,Banks - Diversified,2024,101887000000.0,USD,27132000000.0,3261519000000.0,-8805000000.0
Bank of America Corporation,BAC,United States,Banks - Diversified,2023,98581000000.0,USD,26515000000.0,3180151000000.0,44982000000.0
Bank of America Corporation,BAC,United States,Banks - Diversified,2022,94950000000.0,USD,27528000000.0,3051375000000.0,-6327000000.0
Bank of Montreal,BMO,Canada,Banks - Diversified,2024,32041000000.0,USD,7318000000.0,1409647000000.0,29030000000.0
Bank of Montreal,BMO,Canada,Banks - Diversified,2023,31115000000.0,USD,4425000000.0,1347006000000.0,9591000000.0
Bank of Montreal,BMO,Canada,Banks - Diversified,2022,26259000000.0,USD,13537000000.0,1139199000000.0,4957000000.0
Barclays PLC,BCS,United Kingdom,Banks - Diversified,2024,26230000000.0,USD,6307000000.0,1518202000000.0,7113000000.0
Barclays PLC,BCS,United Kingdom,Banks - Diversified,2023,25384000000.0,USD,5259000000.0,1477487000000.0,-927000000.0
Barclays PLC,BCS,United Kingdom,Banks - Diversified,2022,25021000000.0,USD,5928000000.0,1513699000000.0,30231000000.0
Baxter International Inc.,BAX,United States,Medical Instruments & Supplies,2024,10636000000.0,USD,-649000000.0,25782000000.0,1019000000.0
Baxter International Inc.,BAX,United States,Medical Instruments & Supplies,2023,10360000000.0,USD,2656000000.0,28276000000.0,1726000000.0
Baxter International Inc.,BAX,United States,Medical Instruments & Supplies,2022,10057000000.0,USD,-2433000000.0,28287000000.0,1211000000.0
Bayer Aktiengesellschaft,BAYRY,Germany,Drug Manufacturers - General,2024,46606000000.0,USD,-2552000000.0,110850000000.0,7368000000.0
Bayer Aktiengesellschaft,BAYRY,Germany,Drug Manufacturers - General,2023,47637000000.0,USD,-2941000000.0,116259000000.0,5117000000.0
Bayer Aktiengesellschaft,BAYRY,Germany,Drug Manufacturers - General,2022,50739000000.0,USD,4150000000.0,124877000000.0,7093000000.0
"Becton, Dickinson and Company",BDX,United States,Medical Instruments & Supplies,2025,21840000000.0,USD,1678000000.0,55325000000.0,3431000000.0
"Becton, Dickinson and Company",BDX,United States,Medical Instruments & Supplies,2024,20178000000.0,USD,1705000000.0,57286000000.0,3797000000.0
"Becton, Dickinson and Company",BDX,United States,Medical Instruments & Supplies,2023,19372000000.0,USD,1484000000.0,52780000000.0,2989000000.0
Berkshire Hathaway Inc.,BRK-B,United States,Insurance - Diversified,2024,424232000000.0,USD,88995000000.0,1153881000000.0,30592000000.0
Berkshire Hathaway Inc.,BRK-B,United States,Insurance - Diversified,2023,439337000000.0,USD,96223000000.0,1069978000000.0,49196000000.0
Berkshire Hathaway Inc.,BRK-B,United States,Insurance - Diversified,2022,234121000000.0,USD,-22759000000.0,948465000000.0,37350000000.0
BioNTech SE,BNTX,Germany,Biotechnology,2024,2751100000.0,USD,-665300000.0,22529700000.0,207700000.0
BioNTech SE,BNTX,Germany,Biotechnology,2023,3819000000.0,USD,930300000.0,23006300000.0,5371400000.0
BioNTech SE,BNTX,Germany,Biotechnology,2022,17310600000.0,USD,9434400000.0,23279100000.0,13577400000.0
Biogen Inc.,BIIB,United States,Drug Manufacturers - General,2024,9675900000.0,USD,1632200000.0,28049300000.0,2875500000.0
Biogen Inc.,BIIB,United States,Drug Manufacturers - General,2023,9835600000.0,USD,1161100000.0,26844800000.0,1547200000.0
